Apple Inc. Common Stock	AAPL
Square Inc. Class A Common Stock	SQ
Anthem Inc. Common Stock	ANTM
Booking Holdings Inc. Common Stock	BKNG
Stryker Corporation Common Stock	SYK
Micron Technology Inc. Common Stock	MU
Uber Technologies Inc. Common Stock	UBER
Lam Research Corporation Common Stock	LRCX
Snap Inc. Class A Common Stock	SNAP
S&P Global Inc. Common Stock	SPGI
Altria Group Inc.	MO
General Motors Company Common Stock	GM
Airbnb Inc. Class A Common Stock	ABNB
Fidelity National Information Services Inc. Common Stock	FIS
ServiceNow Inc. Common Stock	NOW
HSBC Holdings plc. Common Stock	HSBC
Prologis Inc. Common Stock	PLD
U.S. Bancorp Common Stock	USB
Mondelez International Inc. Class A Common Stock	MDLZ
China Eastern Airlines Corporation Ltd. Common Stock	CEA
Cigna Corporation Common Stock	CI
Crown Castle International Corp. (REIT) Common Stock	CCI
Gilead Sciences Inc. Common Stock	GILD
Automatic Data Processing Inc. Common Stock	ADP
Zoetis Inc. Class A Common Stock	ZTS
Moderna Inc. Common Stock	MRNA
PNC Financial Services Group Inc. (The) Common Stock	PNC
Bank Nova Scotia Halifax Pfd 3 Ordinary Shares	BNS
Truist Financial Corporation Common Stock	TFC
ConocoPhillips Common Stock	COP
FedEx Corporation Common Stock	FDX
Canadian National Railway Company Common Stock	CNI
Diageo plc Common Stock	DEO
Suzano S.A. American Depositary Shares (each representing One Ordinary Share)	SUZ
Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078	ENBA
Enbridge Inc Common Stock	ENB
TJX Companies Inc. (The) Common Stock	TJX
Dell Technologies Inc. Class C Common Stock	DELL
CME Group Inc. Class A Common Stock	CME
Duke Energy Corporation (Holding Company) Common Stock	DUK
Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078	DUKB
Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073	DUKH
Chubb Limited Common Stock	CB
Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)	VIV
Fiserv Inc. Common Stock	FISV
Brookfield Asset Management Inc. Common Stock	BAM
CSX Corporation Common Stock	CSX
Sherwin-Williams Company (The) Common Stock	SHW
Activision Blizzard Inc. Common Stock	ATVI
Capital One Financial Corporation Common Stock	COF
Natura &Co Holding S.A. American Depositary Shares	NTCO
Equinor ASA	EQNR
Illinois Tool Works Inc. Common Stock	ITW
Grupo Simec S.A.B. de C.V. American Depositary Shares	SIM
Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)	EBR
HCA Healthcare Inc. Common Stock	HCA
Snowflake Inc. Class A Common Stock	SNOW
Marsh & McLennan Companies Inc. Common Stock	MMC
Colgate-Palmolive Company Common Stock	CL
Equinix Inc. Common Stock REIT	EQIX
Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B	BDXB
Becton Dickinson and Company Common Stock	BDX
Norfolk Southern Corporation Common Stock	NSC
Bank Of Montreal Common Stock	BMO
ABB Ltd Common Stock	ABB
Baidu Inc. ADS	BIDU
Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077	SOJC
Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080	SOJD
Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060	SOJE
Southern Company (The) Common Stock	SO
Southern Company (The) Series 2016A 5.25% Junior Subordinated Notes due October 1 2076	SOJB
Southern Company (The) 2019 Series A Corporate Units	SOLN
GlaxoSmithKline PLC Common Stock	GSK
Air Products and Chemicals Inc. Common Stock	APD
Coupang Inc. Class A Common Stock	CPNG
Huaneng Power Intl Common Stock	HNP
MercadoLibre Inc. Common Stock	MELI
Central Puerto S.A. American Depositary Shares (each represents ten Common Shares)	CEPU
Canadian Pacific Railway Limited Common Stock	CP
BP p.l.c. Common Stock	BP
Companhia Siderurgica Nacional S.A. Common Stock	SID
Intercontinental Exchange Inc. Common Stock	ICE
British American Tobacco Industries p.l.c. Common Stock ADR	BTI
Moody's Corporation Common Stock	MCO
Autodesk Inc. Common Stock	ADSK
Ford Motor Company Common Stock	F
Dominion Energy Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076	DRUA
Dominion Energy Inc. Common Stock	D
Dominion Energy Inc. 2019 Series A Corporate Units	DCUE
Ecolab Inc. Common Stock	ECL
Freeport-McMoRan Inc. Common Stock	FCX
Analog Devices Inc. Common Stock	ADI
Illumina Inc. Common Stock	ILMN
Northrop Grumman Corporation Common Stock	NOC
Banco Santander S.A. Sponsored ADR (Spain)	SAN
Boston Scientific Corporation Common Stock	BSX
Edwards Lifesciences Corporation Common Stock	EW
Waste Management Inc. Common Stock	WM
Eaton Corporation PLC Ordinary Shares	ETN
Emerson Electric Company Common Stock	EMR
Progressive Corporation (The) Common Stock	PGR
MetLife Inc. Common Stock	MET
Global Payments Inc. Common Stock	GPN
Newmont Corporation	NEM
UBS Group AG Registered Ordinary Shares	UBS
Roblox Corporation Class A Common Stock	RBLX
Aon plc Class A Ordinary Shares (Ireland)	AON
Atlassian Corporation Plc Class A Ordinary Shares	TEAM
BioNTech SE American Depositary Share	BNTX
NXP Semiconductors N.V. Common Stock	NXPI
KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)	BEKE
Workday Inc. Class A Common Stock	WDAY
Southern Copper Corporation Common Stock	SCCO
Humana Inc. Common Stock	HUM
General Dynamics Corporation Common Stock	GD
Stellantis N.V. Common Shares	STLA
Regeneron Pharmaceuticals Inc. Common Stock	REGN
Vertex Pharmaceuticals Incorporated Common Stock	VRTX
The Kraft Heinz Company Common Stock	KHC
Twilio Inc. Class A Common Stock	TWLO
Canadian Imperial Bank of Commerce Common Stock	CM
Enterprise Products Partners L.P. Common Stock	EPD
Gerdau S.A. Common Stock	GGB
Dow Inc. Common Stock	DOW
NIO Inc. American depositary shares each representing one Class A ordinary share	NIO
Keurig Dr Pepper Inc. Common Stock	KDP
TC Energy Corporation Common Stock	TRP
EOG Resources Inc. Common Stock	EOG
Schlumberger N.V. Common Stock	SLB
America Movil S.A.B. de C.V. Class A American Depositary Shares	AMOV
America Movil S.A.B. de C.V. American Depository Receipt Series L	AMX
Public Storage Common Stock	PSA
Trip.com Group Limited American Depositary Shares	TCOM
Monster Beverage Corporation	MNST
Dollar General Corporation Common Stock	DG
Thomson Reuters Corp Ordinary Shares	TRI
KLA Corporation Common Stock	KLAC
Carvana Co. Class A Common Stock	CVNA
Johnson Controls International plc Ordinary Share	JCI
Coinbase Global Inc. Class A Common Stock	COIN
IDEXX Laboratories Inc. Common Stock	IDXX
KKR & Co. Inc. Common Stock	KKR
Roper Technologies Inc. Common Stock	ROP
Walgreens Boots Alliance Inc. Common Stock	WBA
Twitter Inc. Common Stock	TWTR
DoorDash Inc. Class A Common Stock	DASH
CrowdStrike Holdings Inc. Class A Common Stock	CRWD
Marriott International Class A Common Stock	MAR
Constellation Brands Inc. Common Stock	STZ
Braskem SA ADR	BAK
Cosan S.A. ADS	CSAN
Align Technology Inc. Common Stock	ALGN
TE Connectivity Ltd. New Switzerland Registered Shares	TEL
American International Group Inc. New Common Stock	AIG
BCE Inc. Common Stock	BCE
The Bank of New York Mellon Corporation Common Stock	BK
L3Harris Technologies Inc. Common Stock	LHX
DuPont de Nemours Inc. Common Stock	DD
DocuSign Inc. Common Stock	DOCU
IHS Markit Ltd. Common Shares	INFO
Palantir Technologies Inc. Class A Common Stock	PLTR
Spotify Technology S.A. Ordinary Shares	SPOT
IQVIA Holdings Inc. Common Stock	IQV
Exelon Corporation Common Stock	EXC
Canadian Natural Resources Limited Common Stock	CNQ
Nutrien Ltd. Common Shares	NTR
eBay Inc. Common Stock	EBAY
ING Group N.V. Common Stock	ING
T. Rowe Price Group Inc. Common Stock	TROW
Kimberly-Clark Corporation Common Stock	KMB
Veeva Systems Inc. Class A Common Stock	VEEV
NICE Ltd American Depositary Shares	NICE
Digital Realty Trust Inc. Common Stock	DLR
Simon Property Group Inc. Common Stock	SPG
Trane Technologies plc	TT
Roku Inc. Class A Common Stock	ROKU
Aptiv PLC Ordinary Shares	APTV
PPG Industries Inc. Common Stock	PPG
Las Vegas Sands Corp. Common Stock	LVS
Biogen Inc. Common Stock	BIIB
American Electric Power Company Inc. Corporate Units	AEPPZ
American Electric Power Company Inc. Common Stock	AEP
American Electric Power Company Inc. Corporate Unit	AEPPL
lululemon athletica inc. Common Stock	LULU
Baozun Inc. American Depositary Shares	BZUN
Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058	PRS
Prudential Financial Inc. 4.125% Junior Subordinated Notes due 2060	PFH
Prudential Financial Inc. Common Stock	PRU
Ross Stores Inc. Common Stock	ROST
Kinder Morgan Inc. Common Stock	KMI
Microchip Technology Incorporated Common Stock	MCHP
Koninklijke Philips N.V. NY Registry Shares	PHG
Agilent Technologies Inc. Common Stock	A
Centene Corporation Common Stock	CNC
Electronic Arts Inc. Common Stock	EA
Marathon Petroleum Corporation Common Stock	MPC
Pioneer Natural Resources Company Common Stock	PXD
Baxter International Inc. Common Stock	BAX
Amphenol Corporation Common Stock	APH
Sempra Energy Common Stock	SRE
Barrick Gold Corporation Common Stock (BC)	GOLD
Manulife Financial Corporation Common Stock	MFC
Allstate Corporation (The) Common Stock	ALL
Sysco Corporation Common Stock	SYY
Harmony Gold Mining Company Limited	HMY
The Travelers Companies Inc. Common Stock	TRV
SINOPEC Shangai Petrochemical Company Ltd. Common Stock	SHI
Phillips 66 Common Stock	PSX
Pinterest Inc. Class A Common Stock	PINS
Marvell Technology Inc. Common Stock	MRVL
Parker-Hannifin Corporation Common Stock	PH
Carrier Global Corporation Common Stock	CARR
UiPath Inc. Class A Common Stock	PATH
Alexion Pharmaceuticals Inc. Common Stock	ALXN
Rocket Companies Inc. Class A Common Stock	RKT
AFLAC Incorporated Common Stock	AFL
General Mills Inc. Common Stock	GIS
Synopsys Inc. Common Stock	SNPS
LyondellBasell Industries NV Ordinary Shares Class A (Netherlands)	LYB
Cummins Inc. Common Stock	CMI
MSCI Inc Common Stock	MSCI
Prudential Public Limited Company Common Stock	PUK
Archer-Daniels-Midland Company Common Stock	ADM
Suncor Energy Inc. Common Stock	SU
HP Inc. Common Stock	HPQ
Xcel Energy Inc. Common Stock	XEL
Cognizant Technology Solutions Corporation Class A Common Stock	CTSH
Discover Financial Services Common Stock	DFS
ENI S.p.A. Common Stock	E
Chipotle Mexican Grill Inc. Common Stock	CMG
Teva Pharmaceutical Industries Limited American Depositary Shares	TEVA
Match Group Inc. Common Stock	MTCH
DexCom Inc. Common Stock	DXCM
Cintas Corporation Common Stock	CTAS
Paychex Inc. Common Stock	PAYX
Corning Incorporated Common Stock	GLW
O'Reilly Automotive Inc. Common Stock	ORLY
Transdigm Group Incorporated Transdigm Group Inc. Common Stock	TDG
Millicom International Cellular S.A. Common Stock	TIGO
Fortinet Inc. Common Stock	FTNT
The Hershey Company Common Stock	HSY
Vodafone Group Plc American Depositary Shares	VOD
Turkcell Iletisim Hizmetleri AS Common Stock	TKC
RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)	RELX
Motorola Solutions Inc. Common Stock	MSI
International Flavors & Fragrances Inc. 6.00% Tangible Equity Units	IFFT
Internationa Flavors & Fragrances Inc. Common Stock	IFF
Yum! Brands Inc.	YUM
Lloyds Banking Group Plc American Depositary Shares	LYG
Cadence Design Systems Inc. Common Stock	CDNS
Banco Bilbao Vizcaya Argentaria S.A. Common Stock	BBVA
Franco-Nevada Corporation	FNV
Republic Services Inc. Common Stock	RSG
Palo Alto Networks Inc. Common Stock	PANW
Ferrari N.V. Common Shares	RACE
Hilton Worldwide Holdings Inc. Common Stock	HLT
Southwest Airlines Company Common Stock	LUV
FIRST REPUBLIC BANK Common Stock	FRC
Stanley Black & Decker Inc. Common Stock	SWK
Otis Worldwide Corporation Common Stock	OTIS
SBA Communications Corporation Class A Common Stock	SBAC
Valero Energy Corporation Common Stock	VLO
Williams Companies Inc. (The) Common Stock	WMB
Carnival Corporation Common Stock	CCL
ChipMOS TECHNOLOGIES INC. American Depositary Shares	IMOS
Willis Towers Watson Public Limited Company Ordinary Shares	WLTW
Wayfair Inc. Class A Common Stock	W
D.R. Horton Inc. Common Stock	DHI
CoStar Group Inc. Common Stock	CSGP
Zimmer Biomet Holdings Inc. Common Stock	ZBH
PACCAR Inc. Common Stock	PCAR
Nucor Corporation Common Stock	NUE
National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares	NGG
SVB Financial Group Common Stock	SIVB
SVB Financial Group Depositary Shs each representing a 1/40th interest in a share of 5.25% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A	SIVBP
Rockwell Automation Inc. Common Stock	ROK
Restaurant Brands International Inc. Common Shares	QSR
Welltower Inc. Common Stock	WELL
Barclays PLC Common Stock	BCS
AMETEK Inc.	AME
Waste Connections Inc. Common Shares	WCN
Xilinx Inc. Common Stock	XLNX
Sun Life Financial Inc. Common Stock	SLF
ICL Group Ltd. Ordinary Shares	ICL
Alcon Inc. Ordinary Shares	ALC
Chewy Inc. Class A Common Stock	CHWY
V.F. Corporation Common Stock	VFC
Magna International Inc. Common Stock	MGA
Public Service Enterprise Group Incorporated Common Stock	PEG
Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share	LU
McKesson Corporation Common Stock	MCK
Ameriprise Financial Inc. Common Stock	AMP
Peloton Interactive Inc. Class A Common Stock	PTON
Liberty Broadband Corporation Class A Common Stock	LBRDA
Liberty Broadband Corporation Class C Common Stock	LBRDK
Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock	LBRDP
AutoZone Inc. Common Stock	AZO
Fastenal Company Common Stock	FAST
State Street Corporation Common Stock	STT
Old Dominion Freight Line Inc. Common Stock	ODFL
TIM S.A. American Depositary Shares (Each representing 5 Common Shares)	TIMB
MPLX LP Common Units Representing Limited Partner Interests	MPLX
Arcelor Mittal NY Registry Shares NEW	MT
ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023	MTCN
ResMed Inc. Common Stock	RMD
XPeng Inc. American depositary shares each representing two Class A ordinary shares	XPEV
Arthur J. Gallagher & Co. Common Stock	AJG
Fifth Third Bancorp Common Stock	FITB
Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A	FITBP
Fifth Third Bancorp Depositary Shares	FITBI
Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K	FITBO
Copart Inc. (DE) Common Stock	CPRT
AvalonBay Communities Inc. Common Stock	AVB
CBRE Group Inc Common Stock Class A	CBRE
ANSYS Inc. Common Stock	ANSS
WEC Energy Group Inc. Common Stock	WEC
Equity Residential Common Shares of Beneficial Interest	EQR
Lennar Corporation Class A Common Stock	LEN
Telus Corporation Ordinary Shares	TU
Delta Air Lines Inc. Common Stock	DAL
CRH PLC American Depositary Shares	CRH
Mettler-Toledo International Inc. Common Stock	MTD
Kroger Company (The) Common Stock	KR
Energy Transfer LP Common Units	ET
Best Buy Co. Inc. Common Stock	BBY
Synchrony Financial Common Stock	SYF
Tyson Foods Inc. Common Stock	TSN
Yum China Holdings Inc. Common Stock	YUMC
Interactive Brokers Group Inc. Class A Common Stock	IBKR
Equifax Inc. Common Stock	EFX
American Water Works Company Inc. Common Stock	AWK
Okta Inc. Class A Common Stock	OKTA
Eversource Energy (D/B/A) Common Stock	ES
Coca-Cola Europacific Partners plc Ordinary Shares	CCEP
Skyworks Solutions Inc. Common Stock	SWKS
Verisk Analytics Inc. Common Stock	VRSK
Nasdaq Inc. Common Stock	NDAQ
Orange	ORAN
STMicroelectronics N.V. Common Stock	STM
Zebra Technologies Corporation Class A Common Stock	ZBRA
Garmin Ltd. Common Stock (Switzerland)	GRMN
Maxim Integrated Products Inc. Common Stock	MXIM
Royalty Pharma plc Class A Ordinary Shares	RPRX
Keysight Technologies Inc. Common Stock	KEYS
Hess Corporation Common Stock	HES
The Trade Desk Inc. Class A Common Stock	TTD
Datadog Inc. Class A Common Stock	DDOG
EPAM Systems Inc. Common Stock	EPAM
Occidental Petroleum Corporation Common Stock	OXY
Alexandria Real Estate Equities Inc. Common Stock	ARE
Kansas City Southern Common Stock	KSU
ViacomCBS Inc. 5.75% Series A Mandatory Convertible Preferred Stock	VIACP
ViacomCBS Inc. Class B Common Stock	VIAC
ViacomCBS Inc. Class A Common Stock	VIACA
Applovin Corporation Class A Common Stock	APP
Baker Hughes Company Class A Common Stock	BKR
Ball Corporation Common Stock	BLL
Zillow Group Inc. Class C Capital Stock	Z
Zillow Group Inc. Class A Common Stock	ZG
Weyerhaeuser Company Common Stock	WY
Ecopetrol S.A. American Depositary Shares	EC
Seagen Inc. Common Stock	SGEN
Fomento Economico Mexicano S.A.B. de C.V. Common Stock	FMX
Hormel Foods Corporation Common Stock	HRL
Arista Networks Inc. Common Stock	ANET
Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)	SBS
Rogers Communication Inc. Common Stock	RCI
DTE Energy Company 6.25% Corporate Units	DTP
DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077	DTW
DTE Energy Company Common Stock	DTE
DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076	DTY
DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080	DTB
DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076	DTJ
Unity Software Inc. Common Stock	U
Consolidated Edison Inc. Common Stock	ED
Sirius XM Holdings Inc. Common Stock	SIRI
ARKO Corp. Common Stock	ARKO
Realty Income Corporation Common Stock	O
Liberty Media Corporation Series A Liberty Formula One Common Stock	FWONA
Liberty Media Corporation Series C Liberty SiriusXM Common Stock	LSXMK
Liberty Media Corporation Series C Liberty Formula One Common Stock	FWONK
Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares	TME
Laboratory Corporation of America Holdings Common Stock	LH
Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units	CQP
Fortis Inc. Common Shares	FTS
Cloudflare Inc. Class A Common Stock	NET
Slack Technologies Inc. Class A Common Stock	WORK
Nokia Corporation Sponsored American Depositary Shares	NOK
Deutsche Bank AG Common Stock	DB
International Paper Company Common Stock	IP
Credit Suisse Group American Depositary Shares	CS
Zscaler Inc. Common Stock	ZS
Expedia Group Inc. Common Stock	EXPE
Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock	NTRSO
Northern Trust Corporation Common Stock	NTRS
Comp En De Mn Cemig ADS American Depositary Shares	CIG
Imperial Oil Limited Common Stock	IMO
Apollo Global Management Inc. Class A Common Stock	APO
Fortive Corporation Common Stock	FTV
VeriSign Inc. Common Stock	VRSN
West Pharmaceutical Services Inc. Common Stock	WST
NatWest Group plc American Depositary Shares	NWG
W.W. Grainger Inc. Common Stock	GWW
Cerner Corporation Common Stock	CERN
Yandex N.V. Class A Ordinary Shares	YNDX
Carnival Plc ADS ADS	CUK
ONEOK Inc. Common Stock	OKE
United Rentals Inc. Common Stock	URI
AmerisourceBergen Corporation Common Stock	ABC
AMC Entertainment Holdings Inc. Class A Common Stock	AMC
McCormick & Company Incorporated Common Stock	MKC
D/B/A Royal Caribbean Cruises Ltd. Common Stock	RCL
Vulcan Materials Company (Holding Company) Common Stock	VMC
DISH Network Corporation Class A Common Stock	DISH
Western Digital Corporation Common Stock	WDC
Dollar Tree Inc. Common Stock	DLTR
Sendas Distribuidora S.A. ADS	ASAI
Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)	UGP
Hartford Financial Services Group Inc. (The) Common Stock	HIG
Hartford Financial Services Group Inc. (The) 7.875% Fixed to Floating Rate Junior Subordinated Debentures due 2042	HGH
CDW Corporation Common Stock	CDW
BRF S.A.	BRFS
Li Auto Inc. American Depositary Shares	LI
Brookfield Infrastructure Partners LP Limited Partnership Units	BIP
Caesars Entertainment Inc. Common Stock	CZR
FleetCor Technologies Inc. Common Stock	FLT
HubSpot Inc. Common Stock	HUBS
Futu Holdings Limited American Depositary Shares	FUTU
Kellogg Company Common Stock	K
Seagate Technology Holdings PLC Ordinary Shares (Ireland)	STX
Teladoc Health Inc. Common Stock	TDOC
XP Inc. Class A Common Stock	XP
RingCentral Inc. Class A Common Stock	RNG
PPL Corporation Common Stock	PPL
Clorox Company (The) Common Stock	CLX
Cheniere Energy Inc. Common Stock	LNG
Telefonica SA Common Stock	TEF
KeyCorp Common Stock	KEY
Dover Corporation Common Stock	DOV
Ameren Corporation Common Stock	AEE
Halliburton Company Common Stock	HAL
Ferguson plc Ordinary Shares	FERG
Axon Enterprise Inc. Common Stock	AXON
Martin Marietta Materials Inc. Common Stock	MLM
Teradyne Inc. Common Stock	TER
Wheaton Precious Metals Corp Common Shares (Canada)	WPM
Regions Financial Corporation Common Stock	RF
Medicinova Inc Common Stock	MNOV
CureVac N.V. Ordinary Shares	CVAC
Xylem Inc. Common Stock New	XYL
Devon Energy Corporation Common Stock	DVN
Edison International Common Stock	EIX
Take-Two Interactive Software Inc. Common Stock	TTWO
Ventas Inc. Common Stock	VTR
NovoCure Limited Ordinary Shares	NVCR
Citizens Financial Group Inc. Common Stock	CFG
Entergy Corporation Common Stock	ETR
Church & Dwight Company Inc. Common Stock	CHD
